snpsht_dt,pid_pde,rank_pde,cpt_dor,maj_dor,sex,age,job_code,married
3/31/2001,PDE01,CPT,2/1/2001,7/1/2005,1,27,11A,0
6/30/2001,PDE01,CPT,2/1/2001,7/1/2005,1,28,11A,0
9/30/2001,PDE01,CPT,2/1/2001,7/1/2005,1,28,11A,0
12/31/2001,PDE01,CPT,2/1/2001,7/1/2005,1,28,11A,0
3/31/2002,PDE01,CPT,2/1/2001,7/1/2005,1,28,11A,0
6/30/2002,PDE01,CPT,2/1/2001,7/1/2005,1,29,11A,0
9/30/2002,PDE01,CPT,2/1/2001,7/1/2005,1,29,11A,0
12/31/2002,PDE01,CPT,2/1/2001,7/1/2005,1,29,11A,0
3/31/2003,PDE01,CPT,2/1/2001,7/1/2005,1,29,11A,0
6/30/2003,PDE01,CPT,2/1/2001,7/1/2005,1,30,11A,0
9/30/2003,PDE01,CPT,2/1/2001,7/1/2005,1,30,11A,0
12/31/2003,PDE01,CPT,2/1/2001,7/1/2005,1,30,11A,0
3/31/2004,PDE01,CPT,2/1/2001,7/1/2005,1,30,11A,0
6/30/2004,PDE01,CPT,2/1/2001,7/1/2005,1,31,11A,0
9/30/2004,PDE01,CPT,2/1/2001,7/1/2005,1,31,11A,0
12/31/2004,PDE01,CPT,2/1/2001,7/1/2005,1,31,11A,1
3/31/2005,PDE01,CPT,2/1/2001,7/1/2005,1,31,11A,1
6/30/2005,PDE01,CPT,2/1/2001,7/1/2005,1,32,11A,1
9/30/2005,PDE01,MAJ,2/1/2001,7/1/2005,1,32,11A,1
12/31/2005,PDE01,MAJ,2/1/2001,7/1/2005,1,32,11A,1
3/31/2006,PDE01,MAJ,2/1/2001,7/1/2005,1,32,11A,1
6/30/2006,PDE01,MAJ,2/1/2001,7/1/2005,1,33,11A,1
9/30/2006,PDE01,MAJ,2/1/2001,7/1/2005,1,33,11A,1
12/31/2006,PDE01,MAJ,2/1/2001,7/1/2005,1,33,11A,1
3/31/2007,PDE01,MAJ,2/1/2001,7/1/2005,1,33,11A,1
6/30/2007,PDE01,MAJ,2/1/2001,7/1/2005,1,34,11A,1
9/30/2007,PDE01,MAJ,2/1/2001,7/1/2005,1,34,11A,1
,,,,,,,,
3/31/2001,PDE02,CPT,3/1/2001,4/1/2004,1,27,11A,0
6/30/2001,PDE02,CPT,3/1/2001,4/1/2004,1,28,11A,0
9/30/2001,PDE02,CPT,3/1/2001,4/1/2004,1,28,11A,0
12/31/2001,PDE02,CPT,3/1/2001,4/1/2004,1,28,11A,0
3/31/2002,PDE02,CPT,3/1/2001,4/1/2004,1,28,11A,0
6/30/2002,PDE02,CPT,3/1/2001,4/1/2004,1,29,11A,0
9/30/2002,PDE02,CPT,3/1/2001,4/1/2004,1,29,11A,0
12/31/2002,PDE02,CPT,3/1/2001,4/1/2004,1,29,11A,0
3/31/2003,PDE02,CPT,3/1/2001,4/1/2004,1,29,11A,0
6/30/2003,PDE02,CPT,3/1/2001,4/1/2004,1,30,11A,0
9/30/2003,PDE02,CPT,3/1/2001,4/1/2004,1,30,11A,0
12/31/2003,PDE02,CPT,3/1/2001,4/1/2004,1,30,11A,0
3/31/2004,PDE02,CPT,3/1/2001,4/1/2004,1,30,11A,0
6/30/2004,PDE02,MAJ,3/1/2001,4/1/2004,1,31,11A,0
9/30/2004,PDE02,MAJ,3/1/2001,4/1/2004,1,31,11A,0
