player_idx,team_id,A_i,T_j_star
0,0,0.42454802688998333,0.07314921470201208
1,0,0.5275889398014816,0.07314921470201208
2,0,0.6371801791482613,0.07314921470201208
3,0,0.5172549096186969,0.07314921470201208
4,0,0.6813510959767244,0.07314921470201208
5,0,0.7639784028085683,0.07314921470201208
6,0,0.5206275680088928,0.07314921470201208
7,0,0.2955913181566335,0.07314921470201208
8,0,0.6521575303842132,0.07314921470201208
9,0,0.8329942401961031,0.07314921470201208
10,0,0.3419370070961287,0.07314921470201208
11,0,0.5310276909119414,0.07314921470201208
12,0,0.8364346205068861,0.07314921470201208
13,0,0.4582541724849276,0.07314921470201208
14,0,0.7213404387038229,0.07314921470201208
15,0,0.4055754315736055,0.07314921470201208
16,1,0.29247910194748505,0.37879855298551024
17,1,0.404779276270183,0.37879855298551024
18,1,0.6127792309545441,0.37879855298551024
19,1,0.5286550264381275,0.37879855298551024
20,1,0.6926497592046034,0.37879855298551024
21,1,0.32330718717516144,0.37879855298551024
22,1,0.6948418145645816,0.37879855298551024
23,1,0.3863038843541963,0.37879855298551024
24,1,0.6463268067013078,0.37879855298551024
25,1,0.6313480411353045,0.37879855298551024
26,1,0.1925744922823252,0.37879855298551024
27,1,0.6939274462573918,0.37879855298551024
28,1,0.470119018872768,0.37879855298551024
29,1,0.8764280262368688,0.37879855298551024
30,1,0.39650959834079696,0.37879855298551024
31,1,0.8180428135274217,0.37879855298551024
32,2,0.3156536222573811,0.9261985439813103
33,2,0.15889580362574163,0.9261985439813103
34,2,0.719580445940483,0.9261985439813103
35,2,0.15551094837591006,0.9261985439813103
36,2,0.22348542645958458,0.9261985439813103
37,2,0.8282900010025822,0.9261985439813103
38,2,0.464758051250646,0.9261985439813103
39,2,0.6096307263729535,0.9261985439813103
40,2,0.6739276236229873,0.9261985439813103
41,2,0.683622942576353,0.9261985439813103
42,2,0.45494650639810147,0.9261985439813103
43,2,0.09733647038710476,0.9261985439813103
44,2,0.2758610892407972,0.9261985439813103
45,2,0.3426582109703955,0.9261985439813103
46,2,0.8093970752951994,0.9261985439813103
