team_id,season,A_hat_min,A_hat_max,T_j_hat,roster_n,perf_span
oe:team:014165c3a9a1dc9e63e248ce83ca576|2021|Spring,2021,-1.4512651212078087,0.5758858878816833,-0.6582543981299485,6,2.0271510090894918
oe:team:01c9a45038d103935dc69490914f530|2019|Summer,2019,0.17627832530799947,2.045044940587462,0.8337001491966755,3,1.8687666152794624
oe:team:01c9a45038d103935dc69490914f530|2021|Spring,2021,-1.0543719980953237,1.0558590173516353,0.38715713178067646,9,2.110231015446959
oe:team:01c9a45038d103935dc69490914f530|2021|Summer,2021,-0.9413436460748159,1.4077997083998885,0.2268763154663286,6,2.3491433544747045
oe:team:01c9a45038d103935dc69490914f530|2022|Spring,2022,-0.5086420898912127,0.479806488380107,-0.04259759809557345,3,0.9884485782713197
oe:team:01c9a45038d103935dc69490914f530|2022|Summer,2022,-2.6783594374026416,1.2020367762317163,-0.38552032357483984,6,3.880396213634358
oe:team:01c9a45038d103935dc69490914f530|2023|Annual,2023,-1.2413484453440122,0.3851341573687963,-0.24227285433339268,8,1.6264826027128085
oe:team:01c9a45038d103935dc69490914f530|2023|Split 1,2023,0.45561012776519005,0.6410359438951294,0.5367433934790146,3,0.18542581612993936
oe:team:01c9a45038d103935dc69490914f530|2023|Split 2,2023,-0.9058092292941283,0.6192841432383809,0.02905376687256265,5,1.5250933725325093
oe:team:01c9a45038d103935dc69490914f530|2023|Split 3,2023,-1.3816805734282382,0.762961350372406,-0.4858608431511653,4,2.144641923800644
oe:team:01c9a45038d103935dc69490914f530|2024|Annual,2024,-0.3774340261213762,1.099004552696846,0.5449374129539327,6,1.4764385788182222
oe:team:01c9a45038d103935dc69490914f530|2024|Split 1,2024,-0.7096437385605667,0.7045023668641693,-0.13630037210562265,3,1.4141461054247362
oe:team:01c9a45038d103935dc69490914f530|2024|Split 2,2024,-1.2171530260947954,2.5017603441331717,0.0864781889220995,6,3.718913370227967
oe:team:0504def546c1100b7308b2e76dcbbab|2015|Annual,2015,-1.5271926608703046,1.2828372715857932,-0.01947423073444592,5,2.810029932456098
oe:team:0820c44004d536353d0d2320eb398d8|2015|Annual,2015,-1.6050461318858034,-0.6101188634895381,-1.1631083574113577,3,0.9949272683962652
oe:team:0820c44004d536353d0d2320eb398d8|2015|Summer,2015,-1.684744755595197,-0.06589361607073715,-0.8753191858329671,2,1.61885113952446
oe:team:0ce92abf77546dafee13c1c3f37c25e|2021|Annual,2021,-1.2450056248885184,0.5395833639654225,-0.36437743437549575,5,1.7845889888539408
oe:team:12dec4e1f7ec620651b2b95c440ffac|2016|Spring,2016,-1.825980070664835,-0.011567628306516208,-1.0902679709449499,9,1.8144124423583188
oe:team:1301a0d2c6221cc9417ff939fc4d5a0|2015|Summer,2015,-0.3798424008914798,0.28993755161771145,-0.044952424636884175,2,0.6697799525091912
oe:team:144fd27a5b974d216d3e2dd26283bb5|2017|Spring,2017,-1.8610572659400675,-0.18442354228488322,-1.3065182716797024,5,1.6766337236551843
oe:team:1486bbe432b1153d9a83ff6e75d6c90|2021|Spring,2021,0.44497079147975,3.0004319316823023,1.264714724559449,5,2.5554611402025524
oe:team:1486bbe432b1153d9a83ff6e75d6c90|2021|Summer,2021,-0.6610271652748568,1.5074367132404654,0.21371873237625114,8,2.1684638785153223
oe:team:1486bbe432b1153d9a83ff6e75d6c90|2022|Spring,2022,0.3925593097310964,1.9115043876152078,0.9742494778325647,6,1.5189450778841114
oe:team:1486bbe432b1153d9a83ff6e75d6c90|2022|Summer,2022,0.7614933186048314,1.2723166379535813,0.9819461800465323,4,0.5108233193487499
oe:team:14b278a98a1b9727523f77e7d6c759e|2016|Summer,2016,1.3146813686639083,1.7988113388648437,1.5284697976839297,3,0.4841299702009354
oe:team:14df65afe42f4703832beda2efeba28|2021|Spring,2021,-1.4559242109134023,1.4308447363006702,0.1753889524246424,8,2.8867689472140725
oe:team:154210b19b5b63e6ca6145fe9917904|2016|Spring,2016,0.26408994769508026,0.9043457019431898,0.6663380548786751,5,0.6402557542481095
oe:team:154210b19b5b63e6ca6145fe9917904|2016|Summer,2016,0.6507169685860991,1.185641642788652,0.8727113288602907,4,0.534924674202553
oe:team:16fbfa0b9d8a6aaa7ea303ac6d70669|2016|Summer,2016,-0.8252499314227862,2.400674660484288,0.8175724634021397,4,3.2259245919070745
oe:team:1704188dc8a75f5d0c78f344b5b9e9c|2016|Annual,2016,-1.1206578314082738,0.8484101912741715,-0.3522597446116011,6,1.9690680226824453
oe:team:1d16ed15056eb83a39b0863b72cf2ad|2015|Annual,2015,-0.6700786191010635,0.24580558326988555,-0.13930750179174817,5,0.915884202370949
oe:team:1d16ed15056eb83a39b0863b72cf2ad|2015|Spring,2015,-0.800483243982379,0.7597440520311423,0.03129455085524682,5,1.5602272960135213
oe:team:1d16ed15056eb83a39b0863b72cf2ad|2015|Summer,2015,0.490259264820081,1.9055128373081491,1.1978860510641152,2,1.4152535724880682
oe:team:1f2a633ac1baa6782d705b479d0add9|2016|Spring,2016,-1.0473484594715576,1.166442783252868,-0.27991816631786676,3,2.213791242724426
oe:team:21d5096acdfc62efed68418399ca291|2016|Spring,2016,0.5926001107640178,1.6462048929142987,1.1966222271774556,4,1.053604782150281
oe:team:2261bbacd055e64d38e4c43a2bfcbd9|2017|Spring,2017,0.6824944642818562,2.200948548851284,1.2480094756681555,3,1.5184540845694277
oe:team:2419c102f4ed9d9a100f80381aa8923|2016|Spring,2016,-1.1809177626810212,1.1799012823835089,-0.07394061224123376,6,2.36081904506453
oe:team:2506f4369f41031c5ae85640da9f749|2019|Summer,2019,-0.6744639064229652,0.35476197158316475,-0.2186315080906927,7,1.0292258780061299
oe:team:2506f4369f41031c5ae85640da9f749|2021|Spring,2021,0.34378580719502905,2.0035600340131574,1.149043583394379,6,1.6597742268181284
