uni_slug,university,dept_name,mean_recs,n_audit_files,rank,score,snapshot_count,year_min,year_max,suggested_url,test_parse_recs
vanderbilt_university,Vanderbilt University,Computer Science,5.9,128,1,75.7,9,2012,2024,http://www.vanderbilt.edu:80/americanstudies/about/affiliated-faculty.php,
vanderbilt_university,Vanderbilt University,Computer Science,5.9,128,2,74.9,27,2001,2008,http://www.vanderbilt.edu:80/accounting/StaffDirectory.htm,
vanderbilt_university,Vanderbilt University,Computer Science,5.9,128,3,73.8,18,2006,2013,http://www.vanderbilt.edu/accounting/StaffDirectory.php,
vanderbilt_university,Vanderbilt University,Computer Science,5.9,128,4,73.4,5,2012,2015,http://www.vanderbilt.edu/clas/faculty-and-staff/faculty-listed-by-department/school-of-engineering-faculty/,
vanderbilt_university,Vanderbilt University,Computer Science,5.9,128,5,68.6,8,2023,2026,https://www.vanderbilt.edu/academics/residential-colleges/people/?person=2086-christina-robbins,
vanderbilt_university,Vanderbilt University,Computer Science,5.9,128,6,68.6,8,2022,2025,https://www.vanderbilt.edu/academics/residential-colleges/people/?person=2212-rosevelt-noble-fh,
vanderbilt_university,Vanderbilt University,Computer Science,5.9,128,7,68.6,8,2023,2026,https://www.vanderbilt.edu/academics/residential-colleges/people/?person=2234-melissa-gresalfi-commons,
vanderbilt_university,Vanderbilt University,Computer Science,5.9,128,8,68.4,10,2023,2025,https://www.vanderbilt.edu/academics/residential-colleges/people/?person=2087-natalee-erb,
university_of_hawaii,University of Hawaii,Information and Computer Sciences,8.1,648,1,78.8,81,2016,2024,http://www.hawaii.edu/aging/about/coa-staff/,
university_of_hawaii,University of Hawaii,Information and Computer Sciences,8.1,648,2,78.0,47,2002,2011,http://www.hawaii.edu:80/amst/people_corefaculty.htm,
university_of_hawaii,University of Hawaii,Information and Computer Sciences,8.1,648,3,77.7,43,2002,2011,http://www.hawaii.edu:80/amst/people_addfaculty.htm,
university_of_hawaii,University of Hawaii,Information and Computer Sciences,8.1,648,4,77.5,40,2002,2011,http://www.hawaii.edu:80/amst/people_staff.htm,
university_of_hawaii,University of Hawaii,Information and Computer Sciences,8.1,648,5,73.4,12,2002,2010,http://www.hawaii.edu:80/amst/textonly/people_corefaculty.htm,
university_of_hawaii,University of Hawaii,Information and Computer Sciences,8.1,648,6,66.9,4,2022,2025,https://www.hawaii.edu/about/people/,
university_of_hawaii,University of Hawaii,Information and Computer Sciences,8.1,648,7,64.8,3,2021,2022,https://www.hawaii.edu/aging/coa-faculty-staff/,
university_of_hawaii,University of Hawaii,Information and Computer Sciences,8.1,648,8,64.7,25,2009,2016,http://www.hawaii.edu:80/acm/acadprog/faculty.shtml,
tulane_university,Tulane University,Computer Science,8.6,156,1,78.9,38,2010,2021,http://tulane.edu:80/ccc/faculty-by-department.cfm,
tulane_university,Tulane University,Computer Science,8.6,156,2,77.9,35,2016,2026,http://tulane.edu:80/academic-resources-faculty-and-staff,
tulane_university,Tulane University,Computer Science,8.6,156,3,76.5,36,2010,2018,http://tulane.edu/advising/about/staff.cfm,
tulane_university,Tulane University,Computer Science,8.6,156,4,73.9,32,2012,2017,http://tulane.edu:80/cps/about/cps-staff.cfm,
tulane_university,Tulane University,Computer Science,8.6,156,5,71.2,16,2008,2012,http://tulane.edu:80/cps/about/staff.cfm,
tulane_university,Tulane University,Computer Science,8.6,156,6,70.0,1,2012,2012,http://groups.google.comx5Cx2Fgroupx5Cx2Fusc.list.pdf-lx5Cx2Fmsgx5Cx2F7d43cef5dea557d0b296283e46b3ba7b@tulane.edu/hiretulane/about-cs/staff.cfm,
tulane_university,Tulane University,Computer Science,8.6,156,7,69.1,13,2015,2017,http://tulane.edu:80/bioenvironmental-research/facultyandstaff.cfm,
tulane_university,Tulane University,Computer Science,8.6,156,8,67.7,4,2020,2024,https://tulane.edu/covid-19/webinar-faculty-staff-091020,
university_of_alabama,University of Alabama,Computer Science,8.6,856,1,84.1,237,2015,2026,http://www.ua.edu/facultystaff/,
university_of_alabama,University of Alabama,Computer Science,8.6,856,2,80.9,78,2015,2026,http://accountspayable.ua.edu:80/staff-directory/,
university_of_alabama,University of Alabama,Computer Science,8.6,856,3,75.0,37,2008,2014,http://actcard.ua.edu:80/pages/staffdirectory.shtml,
university_of_alabama,University of Alabama,Computer Science,8.6,856,4,73.1,32,2021,2025,https://access.ua.edu/about-access/staff/,
