snpsht_dt,pid_pde,rater,snr_rater,rater_box,snr_rater_box
2012-10-01,00001,RTR_SNR_01_08_5,SNR_01_08,41,15
2013-01-01,00001,RTR_SNR_01_08_5,SNR_01_08,7,34
2013-04-01,00001,RTR_SNR_01_08_5,SNR_01_08,41,18
2013-07-01,00001,RTR_SNR_01_08_5,SNR_01_08,22,29
2013-10-01,00001,RTR_SNR_02_23_2,SNR_02_23,39,8
2014-01-01,00001,RTR_SNR_02_23_2,SNR_02_23,25,48
2014-04-01,00001,RTR_SNR_02_23_2,SNR_02_23,5,50
2014-07-01,00001,RTR_SNR_02_23_2,SNR_02_23,40,50
2014-10-01,00001,RTR_SNR_03_06_3,SNR_03_06,35,50
2015-01-01,00001,RTR_SNR_03_06_3,SNR_03_06,19,50
2015-04-01,00001,RTR_SNR_03_06_3,SNR_03_06,50,23
2015-07-01,00001,RTR_SNR_03_06_3,SNR_03_06,7,48
2015-10-01,00001,RTR_SNR_04_16_4,SNR_04_16,5,50
2016-01-01,00001,RTR_SNR_04_16_4,SNR_04_16,50,38
2016-04-01,00001,RTR_SNR_04_16_4,SNR_04_16,27,13
2016-07-01,00001,RTR_SNR_04_16_4,SNR_04_16,8,7
2016-10-01,00001,RTR_SNR_05_14_5,SNR_05_14,28,16
2017-01-01,00001,RTR_SNR_05_14_5,SNR_05_14,50,38
2017-04-01,00001,RTR_SNR_05_14_5,SNR_05_14,21,50
2017-07-01,00001,RTR_SNR_05_14_5,SNR_05_14,29,50
2012-10-01,00002,RTR_SNR_01_27_2,SNR_01_27,48,6
2013-01-01,00002,RTR_SNR_01_27_2,SNR_01_27,46,43
2013-04-01,00002,RTR_SNR_01_27_2,SNR_01_27,15,21
2013-07-01,00002,RTR_SNR_01_27_2,SNR_01_27,24,22
2013-10-01,00002,RTR_SNR_02_13_4,SNR_02_13,15,50
2014-01-01,00002,RTR_SNR_02_13_4,SNR_02_13,13,20
2014-04-01,00002,RTR_SNR_02_13_4,SNR_02_13,1,17
2014-07-01,00002,RTR_SNR_02_13_4,SNR_02_13,50,50
2014-10-01,00002,RTR_SNR_03_10_5,SNR_03_10,9,28
2015-01-01,00002,RTR_SNR_03_10_5,SNR_03_10,24,1
2015-04-01,00002,RTR_SNR_03_10_5,SNR_03_10,48,49
2015-07-01,00002,RTR_SNR_03_10_5,SNR_03_10,23,19
2015-10-01,00002,RTR_SNR_04_20_2,SNR_04_20,42,27
2016-01-01,00002,RTR_SNR_04_20_2,SNR_04_20,9,11
2016-04-01,00002,RTR_SNR_04_20_2,SNR_04_20,23,14
2016-07-01,00002,RTR_SNR_04_20_2,SNR_04_20,5,9
2016-10-01,00002,RTR_SNR_05_26_3,SNR_05_26,6,46
2017-01-01,00002,RTR_SNR_05_26_3,SNR_05_26,9,50
2017-04-01,00002,RTR_SNR_05_26_3,SNR_05_26,13,19
2017-07-01,00002,RTR_SNR_05_26_3,SNR_05_26,15,50
2012-10-01,00003,RTR_SNR_01_01_4,SNR_01_01,16,49
2013-01-01,00003,RTR_SNR_01_01_4,SNR_01_01,50,50
2013-04-01,00003,RTR_SNR_01_01_4,SNR_01_01,1,39
2013-07-01,00003,RTR_SNR_01_01_4,SNR_01_01,50,15
2013-10-01,00003,RTR_SNR_02_23_5,SNR_02_23,38,21
2014-01-01,00003,RTR_SNR_02_23_5,SNR_02_23,17,50
2014-04-01,00003,RTR_SNR_02_23_5,SNR_02_23,50,41
2014-07-01,00003,RTR_SNR_02_23_5,SNR_02_23,18,23
2014-10-01,00003,RTR_SNR_03_18_5,SNR_03_18,12,29
2015-01-01,00003,RTR_SNR_03_18_5,SNR_03_18,15,50
2015-04-01,00003,RTR_SNR_03_18_5,SNR_03_18,37,50
2015-07-01,00003,RTR_SNR_03_18_5,SNR_03_18,45,50
2015-10-01,00003,RTR_SNR_04_17_5,SNR_04_17,50,42
2016-01-01,00003,RTR_SNR_04_17_5,SNR_04_17,14,15
2016-04-01,00003,RTR_SNR_04_17_5,SNR_04_17,11,50
2016-07-01,00003,RTR_SNR_04_17_5,SNR_04_17,29,16
2016-10-01,00003,RTR_SNR_05_19_3,SNR_05_19,50,1
2017-01-01,00003,RTR_SNR_05_19_3,SNR_05_19,31,50
